fname,dialogue,summary,topic
train_4023-rp,"#Person1#: 너무 피곤해. 어젯밤 늦게까지 깨어 있어서 그래.
#Person2#: 또 일을 늦게까지 했어?
#Person1#: 아니, 새로운 리얼리티 TV 프로그램을 보면서 자정까지 깨어 있었어.
#Person2#: 아직도 그런 걸 보고 있어? 그냥 집에 갇혀서 아무것도 안 하는 사람들 이야기잖아. 처음에는 재미있었지만, 요즘 같은 시대에 그런 프로그램을 보는 게 좀 이상해. 그런 프로그램들은 사람들이 미디어의 관심을 받고 싶어하는 욕구를 충족시켜 주는 것 같아. 요즘은 다들 스타가 되고 싶어 하잖아.
#Person1#: 그런 프로그램에 참여해서 다른 삶을 경험하거나 돈을 벌고 싶어 하는 사람들이 아직 있어.
#Person2#: 어쨌든 나는 그런 무명인들에게는 관심이 없어. 그들의 유명세가 리얼리티 TV에 나왔다는 정도라면 말이야. 나는 진짜 재능 있는 사람들이 실제로 그만큼의 유명세를 얻는 걸 존경해. 그 사람들은 우리와 차원이 다르니까.
#Person1#: 음, 나는 그렇게 생각하지 않아. 아마도 우리는 유명세가 뭔지 다시 생각해볼 필요가 있을지도 몰라.",#Person1#은 새로운 리얼리티 TV 프로그램을 자정까지 시청했습니다. #Person2#는 그런 프로그램들이 미디어의 주목을 받고 싶어하는 욕구를 충족시키는 것 같아 관심이 없다고 합니다.,리얼리티 TV 프로그램
train_5431-rp,"#Person1#: 이리 와서 앉으세요. 어떤 음료를 드릴까요?
#Person2#: 네, 고맙습니다. 진토닉 한 잔 부탁해요.
#Person1#: 올리브를 드릴까요, 아니면 감자칩을 드릴까요?
#Person2#: 올리브만 주세요. 이 음악 제목이 뭐예요?
#Person1#: 마음에 드세요? 아일랜드 음악이에요.
#Person2#: 정말 좋아요! 이 CD 어디서 구하셨어요?
#Person1#: 음, 쇼핑몰 안에 있는 CD 가게에서 샀던 것 같아요. 그 가게 가보신 적 있어요?
#Person2#: 네, 거기서 자주 쇼핑해요. 괜찮은 가게죠?
#Person1#: 그렇죠. 아, 아일랜드 여행 사진 좀 있어요. 보고 싶으세요?
#Person2#: 물론이죠! 보고 싶어요.",#Person1#이 #Person2#에게 음료를 제공하고 음악 CD 구매처를 설명합니다. 그리고 #Person1#은 #Person2#에게 아일랜드 여행 사진을 함께 보자고 제안합니다.,음악 감상과 여행 이야기
train_2391-rp,"#Person1#: Mary, 왜 그런 일을 했어?
#Person2#: 무슨 일이야, Frank?
#Person1#: Mrs. Jones한테 내 급여를 말한 거 말이야.
#Person2#: 미안해, 정말로.
#Person1#: 그녀는 늘 다 얘기하잖아.
#Person2#: 미안해, 생각 없이 그랬어. 너무 흥분했었나봐.
#Person1#: 이제 됐어. 그렇게 중요하지 않을지도 몰라. 결국 모두가 알게 될 거야. 마을 사람들이 다 궁금하니까.
#Person2#: 첫 직장으로는 정말 괜찮은 돈이야.",Frank는 Mary가 자신의 급여를 Mrs. Jones에게 알린 것에 대해 불만을 표현했습니다. Mrs. Jones는 소문을 빠르게 퍼뜨리는 편입니다.,개인 정보 유출
train_5611-rp,"#Person1#: 안녕하세요, 오늘 밤 방송은 역사상 가장 유명한 인물들의 삶을 조망하는 시간입니다. 오늘의 주인공은 그 시절 젊은이들의 우상이었던 배우 James Dean입니다. Dean의 새로운 전기를 집필하신 Edward Murray 저자를 모셨습니다. 안녕하세요, Edward.
#Person2#: 안녕하세요, Tina.
#Person1#: Edward씨, Dean의 어린 시절에 대해 알고 있는 바를 말씀해 주세요.
#Person2#: 그는 1931년 인디애나에서 태어났으나, 부모가 그가 5살 때 캘리포니아로 이사했습니다. 하지만 그는 거기 오래 있지 못했어요. 4년 후 어머니가 돌아가셨거든요. Jimmy의 아버지는 그를 인디애나로 다시 보내 이모네 집에서 살게 했죠.
#Person1#: 연기에 입문하게 된 계기는 무엇인가요?
#Person2#: 처음에는 고등학교에서 연극 활동을 시작했어요. 이후 캘리포니아 대학에 진학해 연기에 몰두하게 되었죠. 1951년에는 더 많은 무대 경험을 위해 뉴욕으로 갔습니다.
#Person1#: 그럼 영화계 진출은 언제였나요?
#Person2#: 1955년에 첫 주연을 맡았어요. 그 영화가 바로 '에덴의 동쪽'이었죠. Dean은 그 영화로 큰 성공을 거두었어요. 하지만 그를 정말로 유명하게 만든 작품은 두 번째 출연작인 '이유 없는 반항'이었습니다. 이 영화는 사회에 적응하지 못하는 청소년을 다룬 내용이었죠.
#Person1#: 그렇다면 몇 편의 영화를 더 찍었나요?
#Person2#: 한 편 더 찍은 후 1955년 캘리포니아에서 불의의 교통사고로 세상을 떠났습니다.
#Person1#: 정말 안타까운 일이네요. 고작 3편의 영화로 그의 생을 마감했다니. 그런데 그가 오늘날까지 전설로 남은 이유는 뭘까요?
#Person2#: 그의 외모, 연기력, 짧은 생애, 그리고 그가 연기한 캐릭터들 때문일 거예요. 많은 젊은이들이 그를 미국 청소년의 상징으로 여겼죠.","Edward는 Tina에게 Dean이 1931년 인디애나에서 태어나 캘리포니아와 인디애나를 오가며 자랐다고 설명합니다. 그는 대학 시절에 연기에 푹 빠졌고, 1951년에 뉴욕으로 이주해 무대에 섰습니다. Dean은 1955년에 사망하며 단 3편의 영화로 전설로 남았습니다.",James Dean의 전기
train_4739-rp,"#Person1#: 온라인 쇼핑 해본 적 있어?
#Person2#: 아니, 한 번도 안 해봤어. 물건을 사기 전에 직접 보고 만지는 걸 좋아하거든, 특히 옷이나 신발 같은 건 말이야.
#Person1#: 그래, 직접 확인해야 더 안심돼.
#Person2#: 친구들이 광고랑 다른 물건을 받았다는 얘기도 들었어.
#Person1#: 그런 일이 종종 있지. 품질을 제대로 확인하지 않으면 속을 수도 있고, 어떤 상점은 갑자기 사라지기도 해.
#Person2#: 그리고 온라인 결제가 항상 안전하지 않다던데, 해커들이 아이디나 비밀번호를 훔칠 수도 있으니까.
#Person1#: 이런 문제를 해결하려고 여러 조치가 취해졌다고 들었지만, 여전히 완전히 안전하다고 느끼지는 않아.
#Person2#: 그래서 난 오프라인 쇼핑만 해.
#Person1#: 나도 그래. 가끔 온라인에서 정보를 좀 찾아보고, 그다음에 실제 매장에서 사.
#Person2#: 좋은 방법이야.","#Person1#과 #Person2#는 온라인 쇼핑의 단점, 특히 제품의 실제 상태와 결제 보안 문제에 대해 이야기하며 둘 다 오프라인 쇼핑을 선호한다고 한다.",온라인 쇼핑의 장단점
train_5825-rp,"#Person1#: Michelle, 우리 떠나기 전에 집 좀 정리해줄래?
#Person2#: 물론이지. 이 빨간 컵은 어디에 둘까?
#Person1#: 그 컵은 테이블 위에 둬.
#Person2#: 이 과일은?
#Person1#: 그건 냉장고에 넣어.
#Person2#: 저 연필들은 위층에 가져가서 침실에 둬.
#Person2#: 그리고 이 펜은?
#Person1#: 그건 나한테 줘. 내가 필요해.
#Person2#: 저기 있는 종이는 어떻게 할까?
#Person1#: 그건 버려도 돼. 이제 쓸모없어.
#Person2#: 쓰레기가 가득 찼네.
#Person1#: 봉지에 넣어 밖에 내다줘.
#Person2#: 알겠어. 이제 뭐 할까?
#Person1#: 이제 끝난 것 같아. 불 끄고 문 닫아줄래?
#Person2#: 그래.","#Person1#은 Michelle에게 떠나기 전에 함께 집을 정리하자고 제안했고, 함께 물건을 정리했습니다.",집안 정리
train_9367-rp,"#Person1#: 안녕하세요, 어떻게 지내세요?
#Person2#: 잘 지내고 있어요. 오늘은 무슨 일로 바쁘세요?
#Person1#: 새로운 아파트를 찾고 있어요.
#Person2#: 작은 집과 큰 집 중에서 어떤 크기를 찾고 계세요?
#Person1#: 방 두 개짜리 아파트를 찾고 있어요.
#Person2#: 광고에서 정보를 찾고 계신가요?
#Person1#: 네, 그리고 도움을 줄 수 있는 부동산 중개인도 찾아놨어요.
#Person2#: 어떤 위치의 아파트를 찾고 계신가요?
#Person1#: 가격이 적당하고, 자전거나 걸어서 출퇴근할 수 있는 곳이라면 어디든 좋아요. 특별히 까다롭지는 않아요.
#Person2#: 개를 키우신다고 하셨죠?
#Person1#: 네, 맞아요.
#Person2#: 그럼 찾기가 조금 어려울 수도 있겠네요.
#Person1#: 맞아요. 많은 곳에서 애완동물을 허용하지 않더라고요.
#Person2#: 제 사촌 데이브도 개 두 마리를 키우고 있어요. 그의 건물에 빈 아파트가 있는지 확인해볼게요.
#Person1#: 정말 고마워요. 결과 알려주세요.
#Person2#: 물론이죠.","#Person1#은 방 두 개짜리 아파트를 찾고 있으며, 개를 키우고 있어 아파트를 찾기가 더 어렵습니다. #Person2#의 사촌은 개 두 마리를 키우고 있으며, 그의 건물에 빈 아파트가 있는지 확인해줄 것입니다.",아파트 찾기
train_4404-rp,"#Person1#: 실례합니다, 강당이 어디에 있는지 아시나요?
#Person2#: 전 잘 모르겠어요. 친구가 거기서 기다리고 있어서 저도 찾고 있어요. 아침에 친구가 거기서 문학 수업을 들었다고 했거든요. 이쪽이 맞는 것 같아요.
#Person1#: 저도 같이 가도 될까요?
#Person2#: 물론이죠. 어떤 수업을 듣고 계신가요?
#Person1#: 경제학 입문 수업을 듣고 있어요. 그 수업은 수강생이 많다고 들었어요.
#Person2#: 네, 제 룸메이트가 지난 학기에 그 수업을 들었는데, 강의실에 300명 넘게 있었다고 하더라고요.","#Person1#이 #Person2#에게 강당 위치를 물었는데, #Person2#도 강당을 찾고 있었습니다. 그래서 둘은 함께 강당을 찾아 나섰습니다.",강당 찾기
train_6148-rp,"#Person1#: 맥도널드에 오신 것을 환영합니다. 무엇을 주문하시겠어요?
#Person2#: 엑스트라 밸류 밀 하나, 팥 파이 하나, 야채 샐러드 하나를 주문하고 싶어요.
#Person1#: 음료는 어떤 것으로 하시겠어요?
#Person2#: 따뜻한 오렌지 주스로 주세요.
#Person1#: 주문이 이걸로 끝인가요?
#Person2#: 네, 이거면 다 됩니다.",#Person1#이 #Person2#의 맥도널드 주문 과정을 도와줍니다.,패스트푸드 주문
train_5349-rp,"#Person1#: 영어 배우는 게 너무 어려워서 고민이야. 너는 왜 그렇게 쉽게 느껴지니?
#Person2#: 네가 그렇게 어려워하는 줄 몰랐네. 아마 내가 이미 두 가지 언어를 알고 있어서 더 쉬운 것 같아. 그래도 나도 정말 열심히 하고 있어.
#Person1#: 나도 매일 숙제하고 수업도 빠짐없이 가는데, 다른 도움이 될 만한 방법이 있을까?
#Person2#: 신문 읽는 걸 시도해 볼 수 있어. 그리고 기회가 되면 미국인과 대화하려고 해. 물론 가끔은 어렵지만.
#Person1#: 미국인을 어떻게 만나지? 나도 다른 유학생들밖에 모르는데.
#Person2#: 점심 시간에 미국인 옆에 앉아보거나, 누군가를 저녁에 초대하는 건 어때?
#Person1#: 좋은 생각이야. 하지만 영어로 말하는 게 좀 부끄러워.
#Person2#: 시도하지 않으면 배울 수 없어. 나는 너의 영어 선생님에게 조언을 구할 거야. 선생님이 좋은 아이디어를 줄 수 있을 거야.","#Person1#이 영어 학습에 어려움을 겪고 있습니다. #Person2#는 신문 읽기, 미국인과 대화하기, 그리고 #Person1#의 영어 선생님에게 도움을 요청하는 방법을 제안합니다.",영어 학습
train_3544-rp,"#Person1#: 밥 먹자!
#Person2#: 정말 배고프네. 우리 엄마 어디 계셔?
#Person1#: 오늘 엄마가 몸이 안 좋으셔서 내가 저녁을 만들었어.
#Person2#: 이게 뭐야? 그리고 그 냄새는?
#Person1#: 피자야. 우리 가족의 오래된 레시피로 해봤어.
#Person2#: 잠깐 보자... 어, 페이지가 빠져 있잖아!
#Person1#: 아, 두 번째 페이지를 못 찾았어. 그래도 걱정 마, 집안일 경험이 많아서.
#Person2#: 먹어볼게. 아, 너무 짜고 탄 것 같아.
#Person1#: 음, 나가서 저녁 먹는 게 좋을 것 같아.","오늘 엄마가 아파서 #Person1#이 저녁을 준비했는데, #Person2#는 그 피자가 너무 짜고 탔다고 평가했습니다. 결국 #Person1#은 외식으로 결정했습니다.",저녁 준비
train_1261-rp,"#Person1#: David, 졸업 후 어떤 계획을 가지고 있어?
#Person2#: ""최고의 직업 목록""에서 하나를 골라 공무원이 되는 게 좋을지 고민 중이야. 네 생각은 어때?
#Person1#: 그 직업은 인기가 많아. 하지만 네 흥미, 가치관, 그리고 능력을 고려해서 결정하는 게 중요하다고 생각해.
#Person2#: 잘 모르겠어! 그런 건 생각해 본 적이 없고, 그냥 쉽게 찾을 수 있는 직업이라고 생각했었어.
#Person1#: 진로 상담사에게 조언을 구해보고 결정하는 게 좋을 것 같아.","David는 공무원으로의 진로를 고려 중이고, #Person1#은 그에게 진로 상담사와 상담할 것을 제안합니다.",직업 선택
train_7532-rp,"#Person1#: 여러분, 우리는 샌프란시스코로 가는 중입니다.
#Person2#: 저기, 승무원님.
#Person1#: 안녕하세요, 무슨 일이신가요?
#Person2#: 큰일이 났어요.
#Person1#: 멀미가 나세요?
#Person2#: 아니요, 제 여행 가방을 안 가져왔다는 걸 이제 알았어요.
#Person1#: 걱정 마세요, 가방 설명을 좀 해주시겠어요?
#Person2#: 파란색 작은 가죽 가방이고, 이름과 주소가 적혀 있어요. 가방에는 갈색 농구공 장난감이 달린 벨트가 있고, 검은색 지갑도 들어 있어요.
#Person1#: 마지막으로 가방을 어디에서 보셨는지 기억나세요?
#Person2#: 공항에서 수하물을 맡기면서 항공사 카운터에 두고 온 것 같아요.
#Person1#: 그럼 제가 공항 직원에게 연락해서 아직 거기에 있는지 확인해 볼게요.
#Person2#: 도와주셔서 감사합니다.
#Person1#: 천만에요.",#Person1#이 #Person2#의 여행 가방이 항공사 카운터에 있는지 확인하기 위해 공항 직원에게 연락할 예정입니다.,여행 가방 분실
train_1396-rp,"#Person1#: 안녕하세요. John ' s Distribution입니다. 어떤 물건을 도와드릴까요?
#Person2#: 얼음물을 배달 받고 싶은데요.
#Person1#: 현재 얼음물이 전혀 없으신가요?
#Person2#: 조금 있지만, 긴 주말을 보내기에는 부족할 것 같습니다.
#Person1#: 그렇군요. 내일 배달을 해드리도록 하겠습니다.
#Person2#: 정말 감사합니다.
#Person1#: 천만에요.","#Person2#가 얼음물이 필요하다고 요청하여, #Person1#은 내일 배달을 약속했습니다.",얼음물 배달
train_518-rp,"#Person1#: 새 빨간색 넥타이를 어디에 뒀더라?
#Person2#: 아마도 다른 넥타이들과 함께 찬장에 있을 거야.
#Person1#: 초록색 하나와 갈색 넥타이들만 보이는데, 빨간색은 없네.
#Person2#: 여기 네 서랍에 있네. 집에 가져왔을 때 넣어둔 거 같아.
#Person1#: 맞아, 그런 것 같아. 빨리 가야겠어, 스미스 부부가 7시에 오라고 했거든.
#Person2#: 지금이 6시 24분인데, 수가 아직 애들 보러 안 왔네.
#Person1#: 수는 6시 40분에 올 거야. 그래도 그때까지 도착할 시간은 충분해.
#Person2#: 오늘 밤에 누가 또 오는 거야?
#Person1#: 브라운 부부와 프랭크 부부, 그리고 존슨 부인의 여동생도 올 거야.
#Person2#: 그럼 이제 내려가자. 수가 곧 올 것 같아.",#Person1#과 #Person2#는 서둘러 준비를 하고 있다. #Person1#이 빨간색 넥타이를 찾지 못해 #Person2#가 서랍에서 찾아준다. 그들은 수가 아이들을 돌보러 오기를 기다리고 있다.,외출 준비
train_434-rp,"#Person1#: 안녕하세요. 어떤 도움이 필요하신가요?
#Person2#: Mona White 이름으로 예약한 방이 있습니다. 지난주에 전화로 예약했어요.
#Person1#: 잠시만 기다리세요, White 님. 네, 맞습니다. 두 개의 싱글룸이죠? 402호와 403호로 예약되어 있습니다.
#Person2#: 그 방들은 조용한가요?
#Person1#: 길가 쪽이라서 조금은 시끄러울 수 있지만, 전망은 정말 좋습니다.
#Person2#: 조용한 방으로 바꿔주실 수 있을까요?
#Person1#: 알겠습니다.","Mona White는 예약한 방의 조용함을 확인하고, #Person1#은 그 요청을 처리하겠다고 답변합니다.",호텔 예약 확인
train_1983-rp,"#Person1#: 안녕하세요!
#Person2#: 안녕하세요!
#Person1#: 이름이 어떻게 되세요?
#Person2#: 난두라고 해요.
#Person1#: 그 이름을 어떻게 쓰나요?
#Person2#: N-A-N-D-U로 써요.
#Person1#: 멋진 이름이네요, 난두. 그런데 어디 출신이세요?
#Person2#: 마드라스 출신이에요.","처음 만난 #Person1#과 난두는 서로의 이름을 교환하고, 난두는 자신의 이름이 N-A-N-D-U로 쓴다고 알려주며 마드라스 출신임을 밝힙니다.",첫 만남
train_9384-rp,"#Person1#: 연극은 어땠어?
#Person2#: 정말 지루했고, 연출도 별로였어.
#Person1#: 나도 그렇게 생각해. 연기도 좀 더 나았을 거 같아.
#Person2#: 그래도 의상과 무대 장치는 괜찮았어.
#Person1#: 그건 동의해. 하지만 전체적으로는 별로였어.
#Person2#: 그럼 다음에는 뮤지컬 코미디를 보러 가자. 지난번 건 정말 재미있었잖아.
#Person1#: 맞아, 자주 바뀌는 장면 전환이 좋았어.
#Person2#: 나도 그래. 같은 장치를 계속 보는 건 지루했어.","#Person2#는 연극이 지루하고 연출이 별로였다고 느꼈고, #Person1#도 동의했어. 다음에는 장면 전환이 많은 뮤지컬 코미디를 보러 가자고 #Person2#가 제안했어.",연극 평가
train_8634-rp,"#Person1#: 안녕하세요, 베이징 레스토랑입니다. 어떤 도움이 필요하신가요?
#Person2#: 안녕하세요. 주문하고 싶은데요.
#Person1#: 주문하신 음식을 직접 오셔서 가져가실 건가요, 아니면 배달받으실 건가요?
#Person2#: 직접 와서 받을게요.
#Person1#: 어떤 메뉴를 선택하시겠어요?
#Person2#: 메뉴판이 있으니까, 번호로 주문할게요.
#Person1#: 알겠습니다.
#Person2#: 17번, 23번, 그리고 24번 주문할게요. 크기는 중간으로 해주세요.
#Person1#: 음식을 언제쯤 찾으러 오실 건가요?
#Person2#: 한 시간 정도 후에 가겠습니다.
#Person1#: 알겠습니다. 도착하시면 음식이 준비되어 있을 겁니다. 감사합니다.","#Person2#는 베이징 레스토랑에 전화를 걸어 픽업 주문을 하고, 한 시간 후에 도착할 것이라고 #Person1#에게 알립니다.",음식 픽업 주문
train_3461-rp,"#Person1#: 엘리자베스, 무슨 질문이니?
#Person2#: 저기, 야드 세일이 어떤 건지 좀 알려주실 수 있나요?
#Person1#: 간단히 설명하자면, 집 앞마당에서 오래된 물건들을 파는 행사야.
#Person2#: 그런 곳에서 어떤 물건을 살 수 있죠?
#Person1#: 책, 음반, 그릇, 가구 등 다양한 물건이 나와.
#Person2#: 미국 사람들은 왜 중고 물건을 좋아하는 건가요?
#Person1#: 돈을 아끼려고 중고품을 찾는 경우가 많아. 그리고 보물을 찾는 재미도 있지.
#Person2#: 아, 그렇군요.
#Person1#: 사실 많은 서양 사람들은 다른 사람의 물건에 관심이 많아. 부자들도 중고품에서 보물을 찾는 경우가 많아.
#Person2#: 이제 알겠어요. 그린 씨, 정말 도움이 됐어요.
#Person1#: 별 말씀을요.","그린 씨는 엘리자베스에게 야드 세일의 개념과 그곳에서 구매 가능한 다양한 물건, 그리고 미국인들이 중고 물건을 선호하는 이유에 대해 설명했습니다.",야드 세일
train_5697-rp,"#Person1#: 계약 관련 질문이 있으시면 언제든지 물어보세요. 제가 최선을 다해 답변해 드릴게요.
#Person2#: 일단 지금은 질문이 없는데, 계약에 서명하기 전에 조항을 한 번 더 살펴보고 싶어요.","#Person1#은 계약에 대해 궁금한 점이 있으면 언제든지 질문하라고 했고, #Person2#는 계약서에 서명하기 전에 조항을 다시 확인하고자 한다고 밝혔습니다.",계약 검토
